Summary Data For Gas Supply - Import Countrywise Having Year : ALL
.
YearValue,Country,GasType,Qty_Tonne,PriceRsPerKg
2018,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),261044.340,29.197
2020,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),260757.580,19.822
2016,INDONESIA,LIQUIFIED NATURAL GAS (LNG),258920.420,27.052
2018,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),253064.750,21.950
2018,FRANCE,LIQUIFIED NATURAL GAS (LNG),246214.750,36.839
2020,FRANCE,LIQUIFIED NATURAL GAS (LNG),242094.830,31.094
2009,ALGERIA,LIQUIFIED NATURAL GAS (LNG),240835.020,34.608
2007,EGYPT,LIQUIFIED NATURAL GAS (LNG),228314.000,21.246
2016,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),218372.110,25.808
2017,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),215413.170,24.149
2011,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),213496.980,14.897
2019,ALGERIA,LIQUIFIED NATURAL GAS (LNG),213425.660,29.847
2020,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),210344.140,22.387
2015,SPAIN,LIQUIFIED NATURAL GAS (LNG),209485.090,46.886
2019,UK,LIQUIFIED NATURAL GAS (LNG),208838.110,39.664
2020,EGYPT,LIQUIFIED NATURAL GAS (LNG),199962.000,32.139
2014,EGYPT,LIQUIFIED NATURAL GAS (LNG),192035.020,42.216
2012,ALGERIA,LIQUIFIED NATURAL GAS (LNG),188814.000,33.768
2009,OMAN,LIQUIFIED NATURAL GAS (LNG),186442.000,27.611
2010,AUSTRIA,LIQUIFIED NATURAL GAS (LNG),185930.000,16.780
2011,U S A,LIQUIFIED NATURAL GAS (LNG),184419.020,23.340
2012,YEMEN REPUBLC,LIQUIFIED NATURAL GAS (LNG),179526.000,19.530
2009,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),178276.980,25.261
2011,EGYPT,LIQUIFIED NATURAL GAS (LNG),177724.000,22.542
2010,EGYPT,LIQUIFIED NATURAL GAS (LNG),177547.020,19.084
2012,U S A,LIQUIFIED NATURAL GAS (LNG),169732.980,28.526
2009,BELGIUM,LIQUIFIED NATURAL GAS (LNG),169687.020,48.307
2019,FRANCE,LIQUIFIED NATURAL GAS (LNG),163261.970,31.307
2010,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),162035.020,14.149
2019,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),159316.890,27.883
2020,ALGERIA,LIQUIFIED NATURAL GAS (LNG),151978.780,24.678
2006,SAUDI ARABIA,LIQUIFIED NATURAL GAS (LNG),142757.270,6.581
2011,YEMEN REPUBLC,LIQUIFIED NATURAL GAS (LNG),137512.980,12.322
2015,ALGERIA,LIQUIFIED NATURAL GAS (LNG),137208.670,44.498
2018,NORWAY,LIQUIFIED NATURAL GAS (LNG),137194.550,32.628
2012,OMAN,LIQUIFIED NATURAL GAS (LNG),135612.980,26.472
2017,BELGIUM,LIQUIFIED NATURAL GAS (LNG),133118.590,20.820
2007,ALGERIA,LIQUIFIED NATURAL GAS (LNG),131255.000,19.716
2011,SAUDI ARABIA,LIQUIFIED NATURAL GAS (LNG),129601.000,13.631
2013,SPAIN,LIQUIFIED NATURAL GAS (LNG),128743.270,30.874
2016,SPAIN,LIQUIFIED NATURAL GAS (LNG),127814.200,26.853
2009,EGYPT,LIQUIFIED NATURAL GAS (LNG),124670.000,42.901
2010,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),124657.000,17.446
2007,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),123008.000,18.532
2007,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),122321.000,19.389
2010,ALGERIA,LIQUIFIED NATURAL GAS (LNG),118478.000,12.264
2010,NIGERIA,LIQUIFIED NATURAL GAS (LNG),118292.000,13.703
2013,NIGER,LIQUIFIED NATURAL GAS (LNG),116750.000,33.078
2015,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),115215.740,35.716
2016,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),114000.000,26.249
2006,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),113949.840,13.445
